2	12	10	9	9	19	14	8	8	8	8	8	0	4	1	0	0	18
-1	-1	-1	-1	-1	24	24	24	24	24	24	24	-1	-1	1	-1	-1	24
3	22	22	22	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22
-1	22	22	22	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	25	25	25	6	25	25	25	25	25	25	25	25	5	25	25	25	25
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-1	-1	-1
6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	26	6	6
6	6	6	6	7	6	6	6	6	6	6	6	6	-1	6	26	6	6
-1	-1	-1	-1	-1	8	8	8	8	8	8	8	-1	-1	8	-1	-1	24
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	27	11	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	13	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	8	8	8	8	8	8	15	8	8	8	8	8	8	8	8	8	29
8	8	8	8	8	8	8	8	16	8	8	8	8	8	8	8	8	29
8	8	8	8	8	8	8	8	8	8	8	8	-1	17	8	17	17	17
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8	8	8	8	8	8	8	8	20	8	8	8	8	8	30	30	30
8	8	8	8	8	8	8	8	8	8	21	8	8	8	8	30	30	30
31	31	31	31	31	8	8	8	8	8	8	8	-1	31	8	31	31	31
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
